Org Name,School Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Cohasset: Cohasset High School,650505,Public School,Principal,Brian Scott,143 Pond Street,,Cohasset,MA,2025,781-383-6100,781-383-4168,"09,10,11,12"
Cohasset: Cohasset Middle School,650305,Public School,Principal,John Mills,143 Pond Street,,Cohasset,MA,2025,781-236-1070,781-236-1041,"06,07,08"
Cohasset: Deer Hill,650005,Public School,Principal,Alexandra Sullivan,208 Sohier St,,Cohasset,MA,2025,781-383-6115,781-383-6791,"03,04,05"
Cohasset: Joseph Osgood,650010,Public School,Principal,Lisa Farrell,210 Sohier St,,Cohasset,MA,2025,781-383-6117,781-383-0255,"PK,K,01,02"
Collegiate Charter School of Lowell (District): Collegiate Charter School of Lowell,35030205,Charter School,Principal,Laurie Hodgdon,1857 Middlesex Street,,Lowell,MA,1851,978-458-1399,978-458-1366,"K,01,02,03,04,05,06,07,08,09,10,11"
Community Charter School of Cambridge (District): Community Charter School of Cambridge,4360305,Charter School,Principal,Rebecca Norris,245 Bent Street,,Cambridge,MA,2141,617-354-0047,617-354-3624,"06,07,08,09,10,11,12"
Community Day Charter Public School - Gateway (District): Community Day Charter Public School - Gateway,4260205,Charter School,Principal,Mary Chance,50 Pleasant Street,,Lawrence,MA,1841,978-722-2538,978-686-9382,"PK,K,01,02,03,04,05,06,07,08"
Community Day Charter Public School - Prospect (District): Community Day Charter Public School - Prospect,4400205,Charter School,Principal,Mary Chance,190 Hampshire Street,,Lawrence,MA,1840,978-722-2538,978-682-1013,"PK,K,01,02,03,04,05,06,07,08"
Community Day Charter Public School - R. Kingman Webster (District): Community Day Charter Public School - R. Kingman Webster,4310205,Charter School,Principal,Mary Chance,50 Pleasant Street,,Lawrence,MA,1841,978-722-2538,978-686-9382,"PK,K,01,02,03,04,05,06,07,08"
Concord: Alcott,670005,Public School,Principal,Naomi Krakow,93 Laurel Street,,Concord,MA,1742,978-318-9544,978-371-2000,"PK,K,01,02,03,04,05"
Concord: Concord Middle,670305,Public School,Principal,Justin Cameron,835 Old Marlboro Rd,,Concord,MA,1742,978-318-1380,978-318-1392,"06,07,08"
Concord: Thoreau,670020,Public School,Principal,Angel Charles,29 Prairie Street,,Concord,MA,1742,978-318-1300,978-318-1308,"PK,K,01,02,03,04,05"
Concord: Willard,670030,Public School,Principal,Matthew Lucey,185 Powder Mill Rd,,Concord,MA,1742,978-318-1340,978-318-1348,"PK,K,01,02,03,04,05"
Concord-Carlisle: Concord Carlisle High,6400505,Public School,Principal,Michael Mastrullo,500 Walden Street,,Concord,MA,1742,978-318-1400,978-318-1435,"09,10,11,12"
Conservatory Lab Charter (District): Conservatory Lab Charter School,4390050,Charter School,Principal,Nicole Mack,395 Columbia Rd,,Dorchester,MA,2125,617-254-8904,617-254-8908,"PK,K,01,02,03,04,05,06,07,08"
Conway: Conway Grammar,680005,Public School,Principal,Kristen Gordon,24 Fournier Rd.,,Conway,MA,1341,413-369-4239,413-369-4017,"PK,K,01,02,03,04,05,06"
Danvers: Danvers High,710505,Public School,Principal,Adam Federico,60 Cabot Road,,Danvers,MA,1923,978-777-8925,978-777-8931,"09,10,11,12"
Danvers: Great Oak,710015,Public School,Principal,Martha Jancaitis,76 Pickering Street,,Danvers,MA,1923,978-774-2533,978-777-1471,"K,01,02,03,04,05"
Danvers: Highlands,710010,Public School,Principal,John Obremski,190 Hobart,,Danvers,MA,1923,978-774-5011,978-777-5821,"K,01,02,03,04,05"
Danvers: Holten Richmond Middle School,710305,Public School,Principal,Brendan Norton,55 Conant Street,,Danvers,MA,1923,978-774-8590,978-762-8686,"06,07,08"
Danvers: Ivan G Smith,710032,Public School,Principal,Violetta Powers,15 Lobao Drive,,Danvers,MA,1923,978-774-1350,978-774-1351,"K,01,02,03,04,05"
Danvers: Riverside,710030,Public School,Principal,Heather Castonguay,95 Liberty Street,,Danvers,MA,1923,978-774-5010,978-774-7850,"PK,K,01,02,03,04,05"
Danvers: Willis E Thorpe,710045,Public School,Principal,Rita Ward,1 Avon Rd,,Danvers,MA,1923,978-774-6946,978-750-0243,"PK,K,01,02,03,04,05"
Dartmouth: Andrew B. Cushman School,720005,Public School,Principal,Justine Dale,746 Dartmouth Street,,Dartmouth,MA,2748,508-996-3926,508-910-1454,"PK,K"
Dartmouth: Dartmouth High,720505,Public School,Principal,Ross Thibault,555 Bakerville Road,,Dartmouth,MA,2748,508-961-2700,508-910-1410,"09,10,11,12"
Dartmouth: Dartmouth Middle,720050,Public School,Principal,Darren Doane,366 Slocum Road,,North Dartmouth,MA,2747,508-997-9333,508-999-7720,"06,07,08"
Dartmouth: George H Potter,720030,Public School,Principal,Richard Porter,185 Cross Rd,,North Dartmouth,MA,2747,508-996-8259,508-990-0250,"PK,K,01,02,03,04,05"
Dartmouth: James M. Quinn School,720040,Public School,Principal,Kyle Grandfield,529 Hawthorn Street,,Dartmouth,MA,2747,508-997-3178,508-997-6257,"K,01,02,03,04,05"
Dartmouth: Joseph Demello,720015,Public School,Principal,Catherine Pavao,654 Dartmouth Street,,South Dartmouth,MA,2748,508-996-6750,508-990-2519,"01,02,03,04,05"
Dedham: Avery,730010,Public School,Principal,Clare Sullivan,336 High Street,,Dedham,MA,2026,781-310-5000,781-326-5899,"01,02,03,04,05"
Dedham: Dedham High,730505,Public School,Principal,James Forrest,140 Whiting Avenue,,Dedham,MA,2026,781-310-1100,781-320-8126,"09,10,11,12"
Dedham: Dedham Middle School,730305,Public School,Principal,Karen Hillman,70 Whiting Avenue,,Dedham,MA,2026,781-310-7000,781-461-0354,"06,07,08"
Dedham: Early Childhood Center,730005,Public School,Principal,Kimberly Taylor,322 Sprague Street,,Dedham,MA,2026,781-310-8000,781-326-6445,"PK,K"
Dedham: Greenlodge,730025,Public School,Principal,Jennifer Mcgowan,191 Greenlodge Street,,Dedham,MA,2026,781-310-4000,781-461-0034,"01,02,03,04,05"
Dedham: Oakdale,730030,Public School,Principal,Kimberly Hermesch,147 Cedar Street,,Dedham,MA,2026,781-310-6000,781-320-8915,"01,02,03,04,05"
Dedham: Riverdale,730045,Public School,Principal,Edward Paris,143 Needham Street,,Dedham,MA,2026,781-310-2000,781-251-0732,"01,02,03,04,05"
Deerfield: Deerfield Elementary,740015,Public School,Principal,Tina-lynn Gemme,21 Pleasant Street,,South Deerfield,MA,1373,413-665-1131,413-665-2747,"PK,K,01,02,03,04,05,06"
Dennis-Yarmouth: Dennis-Yarmouth Regional High,6450505,Public School,Principal,Paul Funk,210 Station Avenue,,South Yarmouth,MA,2664,508-398-7636,508-398-7635,"08,09,10,11,12"
Dennis-Yarmouth: Ezra H Baker Innovation School,6450005,Public School,Principal,Kevin Depin,810 Route 28,,West Dennis,MA,2670,508-398-7690,508-398-7693,"PK,K,01,02,03"
Dennis-Yarmouth: Marguerite E Small Elementary,6450015,Public School,Principal,Carol Mahedy,440 Higgins Crowell Rd,,West Yarmouth,MA,2673,508-778-7975,508-778-4456,"PK,K,01,02,03"
Dennis-Yarmouth: Mattacheese Middle School,6450305,Public School,Principal,Michael Bovino,400 Higgins Crowell Rd,,West Yarmouth,MA,2673,508-778-7979,508-778-7987,"06,07"
Dennis-Yarmouth: Nathaniel H. Wixon School,6450050,Public School,Principal,Timothy Blake,901 Route 134/Drwr R,,South Dennis,MA,2660,508-398-7695,--,"04,05"
Dennis-Yarmouth: Station Avenue Elementary,6450025,Public School,Principal,Peter Crowell,276 Station Avenue,,South Yarmouth,MA,2664,508-760-5600,508-760-5601,"K,01,02,03"
Dighton-Rehoboth: Dighton Elementary,6500005,Public School,Principal,Lynn Dessert,1250 Somerset Avenue,,Dighton,MA,2715,508-669-4245,508-669-4248,"PK,K,01,02,03,04"
Dighton-Rehoboth: Dighton Middle School,6500305,Public School,Principal,Richard Wheeler,1250R Somerset Avenue,,Dighton,MA,2715,508-669-4200,508-669-4210,"05,06,07,08"
Dighton-Rehoboth: Dighton-Rehoboth Regional High School,6500505,Public School,Principal,John Gould,2700 Regional Rd,,North Dighton,MA,2764,508-252-5025,508-252-5079,"PK,09,10,11,12"
Dighton-Rehoboth: Dorothy L Beckwith,6500310,Public School,Principal,Frederick Randall,330R Winthrop Street,,Rehoboth,MA,2769,508-252-5080,508-252-5082,"05,06,07,08"
Dighton-Rehoboth: Palmer River,6500010,Public School,Principal,Arlene Miguel,326 Winthrop Street,,Rehoboth,MA,2769,508-252-5100,508-252-5110,"PK,K,01,02,03,04"
Douglas: Douglas Elementary School,770015,Public School,Principal,Jonathon Bell,19 Davis Street,,Douglas,MA,1516,508-476-4200,508-476-2562,"02,03,04,05"
Douglas: Douglas High School,770505,Public School,Principal,Joshua Romano,33 Davis Street,,Douglas,MA,1516,508-476-4100,508-476-7310,"09,10,11,12"
Douglas: Douglas Middle School,770305,Public School,Principal,Robert O'brien,21 Davis Street,,Douglas,MA,1516,508-476-3332,508-476-2562,"06,07,08"
Douglas: Douglas Primary School,770005,Public School,Principal,Cindy Socha,17 Gleason Court,,Douglas,MA,1516,508-476-2154,508-476-4041,"PK,K,01"
Dover: Chickering,780005,Public School,Principal,Deborah Reinemann,29 Cross Street,,Dover,MA,2030,508-785-0480,508-785-9748,"PK,K,01,02,03,04,05"
Dover-Sherborn: Dover-Sherborn Regional High,6550505,Public School,Principal,John Smith,9 Junction Street,,Dover,MA,2030,508-785-1730,508-785-8141,"09,10,11,12"
Dover-Sherborn: Dover-Sherborn Regional Middle School,6550405,Public School,Principal,Frank Tiano,155 Farm Street,,Dover,MA,2030,508-785-0635,508-785-0796,"06,07,08"
Dracut: Brookside Elementary,790035,Public School,Principal,Lindsey Howe,1560 Lakeview Avenue,,Dracut,MA,1826,978-957-0716,978-957-9726,"PK,K,01,02,03,04,05"
Dracut: Dracut Senior High,790505,Public School,Principal,Richard Manley,1540 Lakeview Avenue,,Dracut,MA,1826,978-957-1500,978-957-9717,"09,10,11,12"
Dracut: George H. Englesby Elementary School,790045,Public School,Principal,Laurie Fahey,1580 Lakeview Ave,,Dracut,MA,1826,978-957-9745,978-957-8449,"K,01,02,03,04,05"
Dracut: Greenmont Avenue,790030,Public School,Principal,Nicholas Botelho,37 Greenmont Avenue,,Dracut,MA,1826,978-453-1797,978-453-8739,"K,01,02,03,04,05"
Dracut: Joseph A Campbell Elementary,790020,Public School,Principal,Bonnie Faulkner,1021 Methuen Street,,Dracut,MA,1826,978-459-6186,978-459-9780,"PK,K,01,02,03,04,05"
Dracut: Justus C. Richardson Middle School,790410,Public School,Principal,Maria McGuinness,1570 Lakeview Ave,,Dracut,MA,1826,978-957-3330,978-957-4075,"06,07,08"
Dudley Street Neighborhood Charter School (District): Dudley Street Neighborhood Charter School,4070405,Charter School,Principal,Elijah Heckstall,6 Shirley Street,,Boston,MA,2119,617-227-8055,--,"PK,K,01,02,03,04,05"
Dudley-Charlton Reg: Charlton Elementary,6580020,Public School,Principal,Jennifer Lilley,9 Burlingame Road,,Charlton,MA,1507,508-248-7774,508-248-7003,"PK,K,01"
Dudley-Charlton Reg: Charlton Middle School,6580310,Public School,Principal,Dean Packard,2 Oxford Road,,Charlton,MA,1507,508-248-1423,508-248-1418,"05,06,07,08"
Dudley-Charlton Reg: Dudley Elementary,6580005,Public School,Principal,Kelly True,16 School Street,,Dudley,MA,1571,508-943-3351,508-949-3305,"02,03,04"
Dudley-Charlton Reg: Dudley Middle School,6580305,Public School,Principal,Christopher Starczewski,70 Dudley-Oxford Road,,Dudley,MA,1571,508-943-2224,508-949-0720,"05,06,07,08"
Dudley-Charlton Reg: Heritage School,6580030,Public School,Principal,Peter Olson,34 Oxford Rd,,Charlton,MA,1507,508-248-4884,508-248-1109,"02,03,04"
Dudley-Charlton Reg: Mason Road School,6580010,Public School,Principal,Jennifer Desto,20 Mason Road,,Dudley,MA,1571,508-943-4312,508-949-1005,"PK,K,01"
Dudley-Charlton Reg: Shepherd Hill Regional High,6580505,Public School,Principal,William Chaplin,68 Dudley Oxford Road,,Dudley,MA,1571,508-943-6700,508-943-5956,"09,10,11,12"
Duxbury: Alden School,820004,Public School,Principal,Chase Eschauzier,75 Alden Street,,Duxbury,MA,2332,781-934-7630,781-934-7636,"03,04,05"
Duxbury: Chandler Elementary,820006,Public School,Principal,Erin Wiesehahn,93 Chandler Street,,Duxbury,MA,2332,781-934-7680,781-934-7675,"PK,K,01,02"
Duxbury: Duxbury High,820505,Public School,Principal,James Donovan,71 Alden Street,,Duxbury,MA,2332,781-934-7650,781-934-6080,"09,10,11,12"
Duxbury: Duxbury Middle,820305,Public School,Principal,Sarah Mcguire,71 Alden Street,,Duxbury,MA,2332,781-934-7640,781-934-7608,"06,07,08"
East Bridgewater: Central,830005,Public School,Principal,Kate Byrne,107 Central Street,,East Bridgewater,MA,2333,508-378-8204,508-378-8229,"PK,K,01,02"
East Bridgewater: East Bridgewater JR./SR. High School,830505,Public School,Principal,William Klements,143 Plymouth Street,,East Bridgewater,MA,2333,508-378-8214,508-378-8226,"07,08,09,10,11,12"
East Bridgewater: Gordon W. Mitchell School,830010,Public School,Principal,Andrew Gentile,435 Central Street,,East Bridgewater,MA,2333,508-378-8209,508-378-8228,"03,04,05,06"
East Longmeadow: Birchland Park,870305,Public School,Principal,Timothy Allen,50 Hanward Hill,,East Longmeadow,MA,1028,413-525-5480,413-525-5320,"06,07,08"
East Longmeadow: East Longmeadow High,870505,Public School,Principal,Frank Paige,180 Maple Street,,East Longmeadow,MA,1028,413-525-5460,413-525-5496,"09,10,11,12"
East Longmeadow: Mapleshade,870010,Public School,Principal,Michael Fredette,175 Mapleshade Avenue,,East Longmeadow,MA,1028,413-525-5485,413-525-5321,"03,04,05"
East Longmeadow: Meadow Brook,870013,Public School,Principal,Renee Lodi,607 Parker Street,,East Longmeadow,MA,1028,413-525-5470,--,"PK,K,01,02"
East Longmeadow: Mountain View,870015,Public School,Principal,Elaine Santaniello,77 Hampden Rd,,East Longmeadow,MA,1028,413-525-5490,413-525-5447,"03,04,05"
Eastham: Eastham Elementary,850005,Public School,Principal,William Crosby,200 Schoolhouse Road,,Eastham,MA,2642,508-255-0808,508-240-5403,"PK,K,01,02,03,04,05"
Easthampton: Center School,860005,Public School,Principal,Jill Pasquini-torchia,9 School Street,,Easthampton,MA,1027,413-529-1540,413-529-1547,"K,01,02,03,04"
Easthampton: Easthampton High,860505,Public School,Principal,William Evans,70 Williston Avenue,,Easthampton,MA,1027,413-529-1585,413-529-1591,"09,10,11,12"
Easthampton: Maple,860010,Public School,Principal,Judy Averill,7 Chapel Street,,Easthampton,MA,1027,413-529-1550,413-529-1599,"PK,K,01,02,03,04"
Easthampton: Neil A Pepin,860020,Public School,Principal,Jill Pasquini-torchia,4 Park Street,,Easthampton,MA,1027,413-529-1545,413-529-1594,"K,01,02,03,04"
Easthampton: White Brook Middle School,860305,Public School,Principal,Meredith Balise,200 Park Street,,Easthampton,MA,1027,413-529-1530,413-529-1534,"05,06,07,08"
Easton: Center School,880003,Public School,Principal,Ann Weintrob,388 Depot Street,,South Easton,MA,2375,508-230-3233,508-230-3240,"PK,K,01,02"
Easton: Easton Middle School,880405,Public School,Principal,R. Luke Carroll,98 Columbus Avenue,,North Easton,MA,2356,508-230-3222,508-230-3102,"06,07,08"
Easton: Moreau Hall,880020,Public School,Principal,Thomas Higgins,360 Washington Street,,North Easton,MA,2356,508-230-3235,508-230-3237,"PK,K,01,02"
Easton: Oliver Ames High,880505,Public School,Principal,Kelly Cavanaugh,100 Lothrop Street,,North Easton,MA,2356,508-230-3210,508-238-7325,"09,10,11,12"
Easton: Parkview Elementary,880015,Public School,Principal,Samuel Cederbaum,50 Spooner Street,,North Easton,MA,2356,508-230-3230,508-230-3249,"PK,K,01,02"
Easton: Richardson Olmsted School,880025,Public School,Principal,Christopher Getchell,101 Lothrop Street,,North Easton,MA,2356,508-230-3227,508-230-3244,"03,04,05"
Edgartown: Edgartown Elementary,890005,Public School,Principal,Shelley Einbinder-Fleischman,35 Robinson Road,,Edgartown,MA,2539,508-627-3316,508-627-7983,"PK,K,01,02,03,04,05,06,07,08"
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District): Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),4520505,Charter School,Principal,Caren Walker Gregory,10 Fenwood Road,,Boston,MA,2115,617-635-8450,617-635-8452,"09,10,11,12"
Erving: Erving Elementary,910030,Public School,Principal,Lisa Candito,28 Northfield Road,,Erving,MA,1344,413-423-3326,413-423-3648,"PK,K,01,02,03,04,05,06"
Essex North Shore Agricultural and Technical School District: Essex North Shore Agricultural and Technical School,8170505,Public School,Principal,Shannon Donnelly,P.O. Box 346,,Hathorne,MA,1937,978-304-4700,--,"09,10,11,12"
Everett: Adams School,930003,Public School,Principal,Michael McLucas,78 Tileston Street,,Everett,MA,2149,617-394-2400,--,PK
Everett: Devens School,930030,Public School,Principal,Brian Wallace,22 Church Street,,Everett,MA,2149,617-394-2470,--,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Everett: Everett High,930505,Public School,Principal,Erick Naumann,100 Elm Street,,Everett,MA,2149,617-394-2490,617-389-5841,"09,10,11,12"
Everett: George Keverian School,930028,Public School,Principal,Alexander Naumann,20 Nichols Street,,Everett,MA,2149,617-394-5020,617-394-5028,"K,01,02,03,04,05,06,07,08"
Everett: Lafayette School,930038,Public School,Principal,David Brady,117 Edith Street,,Everett,MA,2149,617-394-2450,617-387-5207,"K,01,02,03,04,05,06,07,08"
Everett: Madeline English School,930018,Public School,Principal,Theresa Tringale,105 Woodville Street,,Everett,MA,2149,617-394-5013,617-389-5116,"K,01,02,03,04,05,06,07,08"
Everett: Parlin School,930058,Public School,Principal,DENNIS LYNCH,587 Broadway Street,,Everett,MA,2149,617-394-2480,617-389-5827,"K,01,02,03,04,05,06,07,08"
Everett: Sumner G. Whittier School,930010,Public School,Principal,Michael McLucas,337 Broadway,,Everett,MA,2149,617-394-2410,617-389-5073,"K,01,02,03,04,05,06,07,08"
Everett: Webster Extension,930001,Public School,Principal,Christopher Barrett,548 Broadway,,Everett,MA,2149,617-544-6990,617-544-6011,PK
Everett: Webster School,930015,Public School,Principal,Christopher Barrett,30 Darmouth Street,,Everett,MA,2149,617-394-5040,617-394-5043,"PK,K,01,02,03,04,05"
Excel Academy Charter (District): Excel Academy Charter School,4100205,Charter School,Principal,Owen Stearns,58 Moore Street,,East Boston,MA,2128,617-874-4080,617-674-3436,"05,06,07,08,09,10,11,12"
Fairhaven: East Fairhaven,940010,Public School,Principal,Wendy Weidenfeller,2 New Boston Road,,Fairhaven,MA,2719,508-979-4058,508-979-4143,"PK,K,01,02,03,04,05"
Fairhaven: Fairhaven High,940505,Public School,Principal,Andrew Kulak,12 Huttleston Avenue,,Fairhaven,MA,2719,508-979-4052,508-979-4140,"09,10,11,12"
Fairhaven: Hastings Middle,940305,Public School,Principal,Nicholas Bettencourt,30 School Street,,Fairhaven,MA,2719,508-979-4063,508-979-4068,"06,07,08"
Fairhaven: Leroy Wood,940030,Public School,Principal,Yolanda Burnett,60 Sconticut Neck Road,,Fairhaven,MA,2719,508-979-4073,508-979-4111,"PK,K,01,02,03,04,05"
Fall River: B M C Durfee High,950505,Public School,Principal,Matthew Desmarais,360 Elsbree Street,,Fall River,MA,2720,508-675-8100,508-675-8186,"09,10,11,12"
Fall River: Carlton M. Viveiros Elementary School,950009,Public School,Principal,Tricia Whitty,525 Slade Street,,Fall River,MA,2724,508-675-8300,508-672-7514,"K,01,02,03,04,05"
Fall River: Henry Lord Community School,950017,Public School,Principal,Aimee Bronhard,151 Amity Street,,Fall River,MA,2721,508-675-8208,--,"PK,K,01,02,03,04,05,06,07,08"
Fall River: James Tansey,950140,Public School,Principal,Christopher Audette,711 Ray Street,,Fall River,MA,2720,508-675-8206,508-675-4530,"K,01,02,03,04,05"
Fall River: John J Doran,950045,Public School,Principal,Eric Bradley,101 Fountain Street,,Fall River,MA,2721,508-675-8225,508-235-2608,"PK,K,01,02,03,04,05,06,07,08"
Fall River: Letourneau Elementary School,950013,Public School,Principal,Sean Sibson,323 Anthony Street,,Fall River,MA,2721,508-676-2170,508-679-1940,"PK,K,01,02,03,04,05"
Fall River: Mary Fonseca Elementary School,950011,Public School,Principal,Alicia Lisi,160 Wall Street,,Fall River,MA,2720,508-675-8210,508-675-0889,"PK,K,01,02,03,04,05"
Fall River: Matthew J Kuss Middle,950320,Public School,Principal,Melissa Rouette,52 Globe Mills Avenue,,Fall River,MA,2724,508-675-8335,508-677-1984,"06,07,08"
Fall River: Morton Middle,950315,Public School,Principal,Sheryl Patterson,1135 North Main Street,,Fall River,MA,2720,508-675-8340,508-675-8414,"06,07,08"
Fall River: North End Elementary,950005,Public School,Principal,Patrick Lenz,1899 Meridian Street,,Fall River,MA,2720,508-675-8245,508-675-8314,"PK,K,01,02,03,04,05"
Fall River: Resiliency Preparatory Academy,950525,Public School,Principal,Clarise Brooks,290 Rock Street,,Fall River,MA,2720,508-675-8230,--,"07,08,09,10,11,12"
Fall River: Samuel Watson,950145,Public School,Principal,Celeste Hoeg,935 Eastern Avenue,,Fall River,MA,2723,508-675-8240,508-235-2674,"K,01,02,03,04,05"
Fall River: Spencer Borden,950130,Public School,Principal,Kathleen Cobb,1400 President Avenue,,Fall River,MA,2720,508-675-8202,508-675-8259,"PK,K,01,02,03,04,05"
Fall River: Stone PK-12 School,950340,Public School,Principal,Mary Shaw,276 maple,,Fall River,MA,2720,508-675-8405,508-675-8462,"K,02,03,04,05,06,07,08,09,10,11,12"
Fall River: Talbot Innovation School,950305,Public School,Principal,Brian Raposo,124 Melrose Street,,Fall River,MA,2723,508-675-8350,508-675-8356,"06,07,08"
Fall River: William S Greene,950065,Public School,Principal,Elizabeth Dunn,409 Cambridge Street,,Fall River,MA,2721,508-675-8325,508-675-8328,"PK,K,01,02,03,04,05"
Falmouth: East Falmouth Elementary,960005,Public School,Principal,Paul Goodhind,33 Davisville Rd,,East Falmouth,MA,2536,508-548-1052,508-548-0301,"PK,K,01,02,03,04"
Falmouth: Falmouth High,960505,Public School,Principal,Thomas McManamon,874 Gifford Street,,Falmouth,MA,2540,508-540-2200,508-548-7515,"09,10,11,12"
Falmouth: Lawrence,960405,Public School,Principal,Thomas Bushy,113 Lakeview Avenue,,Falmouth,MA,2540,508-548-0606,508-457-9778,"07,08"
Falmouth: Morse Pond School,960305,Public School,Principal,Kathleen Riordan,323 Jones Road,,Falmouth,MA,2540,508-548-7300,508-457-1810,"05,06"
Falmouth: Mullen-Hall,960020,Public School,Principal,Rosemary Moran,130 Katherine Lee Bates Rd,,Falmouth,MA,2540,508-548-0220,508-457-5404,"K,01,02,03,04"
Falmouth: North Falmouth Elementary,960030,Public School,Principal,Timothy Adams,62 Old Main Road,,North Falmouth,MA,2556,508-563-2334,508-564-7525,"K,01,02,03,04"
Falmouth: Teaticket,960015,Public School,Principal,Sandra Kapsambelis,45 Maravista Ave Ext,,East Falmouth,MA,2536,508-548-1550,508-540-4383,"PK,K,01,02,03,04"
Farmington River Reg: Farmington River Elementary,6620020,Public School,Principal,Thomas Nadolny,555 N Main Street,PO Box 679,Otis,MA,1253,413-269-4466,413-269-7659,"PK,K,01,02,03,04,05,06"
Fitchburg: Arthur M Longsjo Middle School,970315,Public School,Principal,Patricia May,98 Academy Street,,Fitchburg,MA,1420,978-343-2146,978-348-2323,"05,06,07,08"
Fitchburg: Crocker Elementary,970016,Public School,Principal,Casey Beaulac,200 Bigelow Dr,,Fitchburg,MA,1420,978-345-3290,978-345-3233,"PK,K,01,02,03,04"
Fitchburg: Fitchburg High,970505,Public School,Principal,Jeremy Roche,140 Arn-How Farm Rd,,Fitchburg,MA,1420,978-345-3240,978-348-2303,"PK,09,10,11,12"
Fitchburg: Goodrich Academy,970510,Public School,Principal,Alexis Curry,111 Goodrich Street,,Fitchburg,MA,1420,978-345-3244,978-343-6127,"09,10,11,12"
Fitchburg: McKay Arts Academy,970340,Public School,Principal,Mark Pierce,67 Rindge Road,,Fitchburg,MA,1420,978-665-3187,978-665-3523,"PK,K,01,02,03,04,05,06,07,08"
Fitchburg: Memorial Middle School,970048,Public School,Principal,Brittany Taylor,615 Rollstone Street,,Fitchburg,MA,1420,978-345-3295,978-343-2121,"05,06,07,08"
Fitchburg: Reingold Elementary,970043,Public School,Principal,Justin Sparks,70 Reingold Avenue,,Fitchburg,MA,1420,978-345-3287,978-343-2132,"PK,K,01,02,03,04"
Fitchburg: South Street Elementary,970060,Public School,Principal,Suzanne Tingas,376 South Street,,Fitchburg,MA,1420,978-348-2300,978-345-3292,"PK,K,01,02,03,04"
Florida: Abbott Memorial,980005,Public School,Principal,Martin McEvoy,56 North County Rd,,Florida,MA,1247,413-664-6023,413-663-3593,"PK,K,01,02,03,04,05,06,07,08"
Four Rivers Charter Public (District): Four Rivers Charter Public School,4130505,Charter School,Principal,Peter Garbus,248 Colrain Road,,Greenfield,MA,1301,413-775-4577,413-775-4578,"07,08,09,10,11,12"
Foxborough: Charles Taylor Elementary,990050,Public School,Principal,Michael Stanton,196 South Street,,Foxborough,MA,2035,508-543-1607,508-543-3261,"K,01,02,03,04"
Foxborough: Foxborough High,990505,Public School,Principal,Diana Myers-Pachla,120 South Street,,Foxborough,MA,2035,508-543-1616,508-698-6517,"09,10,11,12"
Foxborough: John J Ahern,990405,Public School,Principal,Kerryn Frazier,111 Mechanic Street,,Foxborough,MA,2035,508-543-1610,508-543-1613,"05,06,07,08"
Foxborough: Mabelle M Burrell,990015,Public School,Principal,Edward Quigley,16 Morse Street,,Foxborough,MA,2035,508-543-1605,508-698-2196,"PK,K,01,02,03,04"
Foxborough: Vincent M Igo Elementary,990020,Public School,Principal,Kate Campbell,70 Carpenter Street,,Foxborough,MA,2035,508-543-1680,508-543-1699,"K,01,02,03,04"
Foxborough Regional Charter (District): Foxborough Regional Charter School,4460550,Charter School,Principal,Michael Cournoyer,131 Central Street,,Foxborough,MA,2035,508-543-2508,508-543-7982,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Framingham: Barbieri Elementary,1000035,Public School,Principal,MARIA DAVIS,100 Dudley Rd,,Framingham,MA,1701,508-626-9187,508-626-9176,"K,01,02,03,04,05"
Framingham: Brophy,1000006,Public School,Principal,Franklin Rothwell,575 Pleasant Street,,Framingham,MA,1701,508-626-9158,508-877-4025,"K,01,02,03,04,05"
Framingham: Cameron Middle School,1000302,Public School,Principal,Michelle Melick,215 Elm Street,,Framingham,MA,1701,508-879-2290,508-788-3560,"06,07,08"
Framingham: Charlotte A Dunning,1000007,Public School,Principal,Michele Schecter,48 Frost Street,,Framingham,MA,1701,508-626-9155,508-877-4524,"K,01,02,03,04,05"
Framingham: Framingham High School,1000515,Public School,Principal,Carolyn Banach,115 A Street,,Framingham,MA,1701,508-620-4963,508-877-6603,"09,10,11,12"
Framingham: Fuller Middle,1000305,Public School,Principal,KERRY WOOD,31 Flagg Drive,,Framingham,MA,1701,508-620-4956,508-628-1308,"06,07,08"
Framingham: Harmony Grove Elementary,1000055,Public School,Principal,JULIANA KESSLER,169 Leland Street,,Framingham,MA,1702,508-626-9164,508-620-2965,"K,01,02,03,04,05"
Framingham: Hemenway,1000015,Public School,Principal,Elizabeth Simon,729 Water Street,,Framingham,MA,1701,508-626-9149,508-877-2262,"K,01,02,03,04,05"
Framingham: Juniper Hill School,1000001,Public School,Principal,Rosario Alvarez,29 Upper Joclyn Avenue,,Framingham,MA,1701,508-788-2380,508-872-1354,PK
Framingham: King Elementary School,1000005,Public School,Principal,James Bergeron,454 Water Street,,Framingham,MA,1701,508-782-7201,508-877-4240,"K,01,02,03,04,05"
Framingham: Mary E Stapleton Elementary,1000045,Public School,Principal,Sara Yuen,25 Elm Street,,Framingham,MA,1701,508-626-9143,508-877-4908,"K,01,02,03,04,05"
